show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,description,popularity,vote_count,vote_average
218532,TV Show,Call My Agent - Italia,,"Michele Di Mauro, Marzia Ubaldi, Maurizio Lastrico, Emanuela Fanelli, Francesco Russo",Italy,2023-01-20,2023,7.6,1 Seasons,Comedy,it,"Welcome behind the scenes of Italian show business from the point of view of those in charge of managing the careers - and lives - of the stars: the agents. Lea, Gabriele, Vittorio and Elvira are the soul of CMA and they give their souls to it, ready for anything to make their stars shine. Managers, friends, confidants and psychologists: a good agent is all that and more. And they, each with their own style, are the best. Between hectic days and mundane nights, it's their personal lives that lose out -- but deep down they have too much fun to notice. With the departure of founder Claudio Maiorana, however, things will get a little more complicated.",28.558,29.0,7.6
217745,TV Show,LOL: Last One Laughing Quebec,"Benoît Giguère, Suzanne Labelle","Patrick Huard, Jean-Michel Anctil, Dominic Paquet, Réal Béland, Mona De Grenoble",Canada,2023-01-05,2023,6.3,1 Seasons,"Reality, Comedy",fr,"Patrick Huard invites 10 comedians to this unique experience that borders on torture. They will spend six hours together in an enclosed space where it is forbidden to laugh. The last one to laugh will win the contest, as well as $100,000 for the foundation of their choice.",21.744,6.0,6.3
216322,TV Show,Sky High: The Series,,"Asia Ortega, Luis Tosar, Álvaro Rico, Richard Holmes, Patricia Vico",Spain,2023-03-17,2023,7.3,1 Seasons,"Action & Adventure, Drama, Crime",es,"To remain independent of her father, who is a stolen goods trafficker, a newly widowed single mom joins her late husband’s gang of smash-and-grab thieves.",23.705,77.0,7.3
231802,TV Show,Dois em Cena: Encontro de Gerações,,Marisa Orth,,2023-08-28,2023,0.0,1 Seasons,Talk,pt,,30.013,0.0,0.0
238162,TV Show,Araro,Topel Lee,"Micaella Raz, Vince Rillon, Arah Alonzo, Dyessa Garcia, Jenn Rosa",Philippines,2023-11-19,2023,3.0,1 Seasons,,tl,Edgar plans to exact revenge to Leon by charming and seducing all the women in his life.,24.964,2.0,3.0
222798,TV Show,KamiErabi GOD.app,,"Kazuki Ura, Sara Matsumoto, Shuichi Uchida, Natsuko Abe, Gakuto Kajiwara","Japan, United States of America",2023-10-05,2023,4.9,1 Seasons,"Animation, Action & Adventure",ja,"The ultimate battle royale for divinity has begun. High schoolers must use their unique powers to compete against each other for the coveted title “God.” But as each brawl becomes more vicious than the last, alliances are formed and betrayals take place. Who will emerge victorious and claim their godly throne?",24.428,10.0,4.9
226741,TV Show,ANIME MANGA EXPLOSION,,,Japan,2023-04-30,2023,0.0,1 Seasons,Documentary,en,"The size of the Japanese animation market was 2,426 billion yen by 2020. More than half of that amount came from overseas sales. The manga market is also expanding, reaching 675.9 billion yen in 2021. Those unique visuals and stories from Japan have struck a chord with fans around the world and are growing into a huge industry. ANIME MANGA EXPLOSION will actively feature major works that are highly recognized by overseas fans and reveal the secrets of Japanese anime and manga creation through the series.",24.402,0.0,0.0
228495,TV Show,The Secret of Weekend Trips: It’s Not That Easy to Be a Married Couple,,,,2023-07-06,2023,0.0,1 Seasons,,ja,,23.13,0.0,0.0
223077,TV Show,Korean Lunch Tray,,"Lee Yeon-bok, Hong Jin-kyung, Heo Kyung-hwan, Nam Chang-hee, 김민지",,2023-03-25,2023,2.0,1 Seasons,Reality,ko,Spreading the flavours and goodness of K-Food to the world - one lunch tray at a time!,22.672,1.0,2.0
226241,TV Show,VGLY,"Sebastián Sariñana, Cris Gris, Santiago Fábregas","Benny Emmanuel, Juan Daniel Garcia Treviño, Sasha González, Alejandro Lago, Vitter Leija",Mexico,2023-05-25,2023,8.345,1 Seasons,"Comedy, Drama",es,"Though stuck at the bottom of the social ladder with no money or contacts, aspiring artist Vgly and his crew strive to break into the music business.",17.63,200.0,8.345
